,コナミスポーツクラブ,飯田橋,,ボディパンプ60,6,11:20,秋庭 伸吾(定員45名),
,コナミスポーツクラブ,飯田橋,,ボディパンプ30,5,18:45,善幸 いづみ,
,コナミスポーツクラブ,銀座,,ボディパンプ60,2,20:15,坂東 亜季子,
,コナミスポーツクラブ,銀座,,ボディパンプ60,4,11:15,中村 昌代,
,コナミスポーツクラブ,銀座,,ボディパンプ60,6,16:45,三代 学,
,コナミスポーツクラブ,銀座,,ボディパンプ45,1,7:15,佐藤 基之,
,コナミスポーツクラブ,銀座,,ボディパンプ45,1,18:30,中村 昌代,
,コナミスポーツクラブ,銀座,,ボディパンプ45,2,14:45,染川 美佳,
,コナミスポーツクラブ,銀座,,ボディパンプ45,3,16:10,齋藤 拓也,
,コナミスポーツクラブ,銀座,,ボディパンプ45,5,8:10,坂東 亜季子,
,コナミスポーツクラブ,銀座,,ボディパンプ45,5,21:20,小林 朝子,
,コナミスポーツクラブ,銀座,,ボディパンプ30,2,8:10,染川 美佳,
,コナミスポーツクラブ,大手町,,ボディパンプ60,1,18:45,村井達則,
,コナミスポーツクラブ,大手町,,ボディパンプ60,3,14:40,末廣伸一朗,
,コナミスポーツクラブ,大手町,,ボディパンプ60,5,19:55,渡辺智弘,
,コナミスポーツクラブ,大手町,,ボディパンプ60,6,15:15,末廣伸一朗,
,コナミスポーツクラブ,大手町,,ボディパンプ45,2,11:45,雨宮晴子,
,コナミスポーツクラブ,大手町,,ボディパンプ45,4,12:15,浅野智賀子,
,コナミスポーツクラブ,大手町,,ボディパンプ45,5,11:40,末廣伸一朗,
,コナミスポーツクラブ,目黒青葉台,,ボディパンプ60,1,20:30,井上 真登,
,コナミスポーツクラブ,目黒青葉台,,ボディパンプ60,3,15:15,布瀬 可奈子,
,コナミスポーツクラブ,目黒青葉台,,ボディパンプ60,4,21:45,竹田 信也,
,コナミスポーツクラブ,目黒青葉台,,ボディパンプ60,5,12:45,中川 真希,
,コナミスポーツクラブ,目黒青葉台,,ボディパンプ60,5,20:05,井上 真登,
,コナミスポーツクラブ,目黒青葉台,,ボディパンプ60,6,17:45,後藤 冬樹,
,コナミスポーツクラブ,目黒青葉台,,ボディパンプ60,0,12:50,貞 喜代彦,
,コナミスポーツクラブ,目黒青葉台,,ボディパンプ45,1,13:30,山下 剛,
,コナミスポーツクラブ,曳舟,,ボディパンプ60,1,12:45,鈴木亜矢子,
,コナミスポーツクラブ,曳舟,,ボディパンプ60,2,21:30,貞喜代彦,
,コナミスポーツクラブ,曳舟,,ボディパンプ60,4,12:45,蛯子朝乃,
,コナミスポーツクラブ,曳舟,,ボディパンプ60,5,21:30,蛯子朝乃,
,コナミスポーツクラブ,曳舟,,ボディパンプ60,0,13:00,鈴木亜矢子,
,コナミスポーツクラブ,曳舟,,ボディパンプ30,4,19:30,鈴木亜矢子,
,コナミスポーツクラブ,西葛西,,ボディパンプテック,0,17:00,山田 紗緒里,
,コナミスポーツクラブ,西葛西,,ボディパンプ60,1,9:50,阿部 直彰,
,コナミスポーツクラブ,西葛西,,ボディパンプ60,1,14:35,善幸 いづみ,
,コナミスポーツクラブ,西葛西,,ボディパンプ60,1,20:05,山田 紗緒里,
,コナミスポーツクラブ,西葛西,,ボディパンプ60,3,9:40,池上 享,
,コナミスポーツクラブ,西葛西,,ボディパンプ60,6,10:15,池上 享,
,コナミスポーツクラブ,西葛西,,ボディパンプ60,6,19:50,屋久 恵太郎,
,コナミスポーツクラブ,西葛西,,ボディパンプ60,0,9:45,屋久 恵太郎,
,コナミスポーツクラブ,西葛西,,ボディパンプ45,3,19:15,田中 正成,
,コナミスポーツクラブ,西葛西,,ボディパンプ45,4,21:30,大宮 一人,
,コナミスポーツクラブ,西葛西,,ボディパンプ45,5,15:15,野本 早苗,
,コナミスポーツクラブ,西葛西,,ボディパンプ35,0,17:20,山田 紗緒里,
,コナミスポーツクラブ,二子玉川,,ボディパンプ60,3,21:35,新倉洋輔,
,コナミスポーツクラブ,二子玉川,,ボディパンプ60,5,12:50,神田正樹,
,コナミスポーツクラブ,二子玉川,,ボディパンプ60,6,18:30,田上岳,
,コナミスポーツクラブ,二子玉川,,ボディパンプ60,0,12:20,野里奈央,
,コナミスポーツクラブ,二子玉川,,ボディパンプ45,1,19:45,新倉洋輔,
,コナミスポーツクラブ,二子玉川,,ボディパンプ45,3,13:30,出川 美恵子,
,コナミスポーツクラブ,府中,,ボディパンプテック,1,11:40,,
,コナミスポーツクラブ,府中,,ボディパンプ60,1,22:15,岩田勇樹,
,コナミスポーツクラブ,府中,,ボディパンプ60,4,13:55,新名弘嵩,
,コナミスポーツクラブ,府中,,ボディパンプ60,6,10:25,吉永有宏,
,コナミスポーツクラブ,府中,,ボディパンプ60,6,19:50,酒井啓介,
,コナミスポーツクラブ,府中,,ボディパンプ60,0,15:40,新名弘嵩,
,コナミスポーツクラブ,府中,,ボディパンプ45,1,12:00,,
,コナミスポーツクラブ,府中,,ボディパンプ30,3,16:20,岩田勇樹,
,コナミスポーツクラブ,府中,,ボディパンプ30,4,18:50,菅田郁美,
,コナミスポーツクラブ,府中,,ボディパンプ30,5,12:10,岩田勇樹,
,コナミスポーツクラブ,府中,,ボディパンプ30,5,21:45,遠藤仁士,
,コナミスポーツクラブ,池袋,,ボディパンプ60,1,20:40,志賀公之助,
,コナミスポーツクラブ,池袋,,ボディパンプ60,3,13:20,白川⇒(代行)志賀,
,コナミスポーツクラブ,池袋,,ボディパンプ60,3,19:30,寺園悠人,
,コナミスポーツクラブ,池袋,,ボディパンプ60,5,22:00,白川貴史,
,コナミスポーツクラブ,池袋,,ボディパンプ60,6,13:00,浅川裕司,
,コナミスポーツクラブ,池袋,,ボディパンプ60,0,10:30,松永忠,
,コナミスポーツクラブ,池袋,,ボディパンプ45,1,11:55,西脇登志子,
,コナミスポーツクラブ,池袋,,ボディパンプ30,1,15:30,榎本忍,
,コナミスポーツクラブ,池袋,,ボディパンプ30,4,22:55,寺園悠人,
,コナミスポーツクラブ,池袋,,ボディパンプ30,5,11:45,榎本忍,
,コナミスポーツクラブ,池袋,,ボディパンプ30,6,18:50,松永忠,
,コナミスポーツクラブ,本店,,ボディパンプ60,1,21:30,磯部 隼,
,コナミスポーツクラブ,本店,,ボディパンプ60,4,16:00,川本 雅道,
,コナミスポーツクラブ,本店,,ボディパンプ60,4,19:15,磯部 隼,
,コナミスポーツクラブ,本店,,ボディパンプ60,6,11:30,杉浦 和子,
,コナミスポーツクラブ,本店,,ボディパンプ60,0,15:15,磯部 隼,
,コナミスポーツクラブ,本店,,ボディパンプ45,1,13:15,野邉 和輝,
,コナミスポーツクラブ,本店,,ボディパンプ45,3,20:30,松久 将一,
,コナミスポーツクラブ,目黒,,ボディパンプテック,4,18:40,小林 良太,
